Nom	,Date de Sortie,	Type,	État	,Durée,	Note Imdb,	Synopsis,0,PlaceHolder.png
Kill Bill Volume 2,	2004	,Film	,Fini,137 minutes	,8	,"Bill arrive en voiture à la chapelle de Two Pines d'El Paso. à la grande surprise de la Mariée. Une conversation s'engage entre eux deux. la Mariée confirmant à Bill. qui lui reproche sa soudaine disparition. qu'elle arrête définitivement le métier de tueuse à gages. Peu après. les autres membres du Détachement International des Vipères Assassines arrivent sur les lieux et commencent le massacre.Après le générique. la Mariée explique au spectateur le contexte du film au volant de sa voiture. en route pour tuer Bill après avoir éliminé ses derniers adversaires dans le futur chapitre 9. ",11,Image11.jpg
Reservoir Dogs,	1992,Film	,Fini,99 minutes	,8.3	,"Dans un restaurant. huit hommes. en apparence décontractés. parlent. entre autres. de musique. notamment de Like a Virgin de Madonna. et du fait de savoir s'il faut laisser. ou non. un pourboire à la serveuse. Six d'entre eux utilisent des pseudonymes (M. White. M. Blonde. M. Orange. M. Pink. M. Blue et M. Brown) et les deux autres sont Joe Cabot. un truand de Los Angeles. et son fils Eddie.On retrouve ensuite M. White et M. Orange. lequel est gravement blessé par balle. qui arrivent dans un entrepôt abandonné. Peu après survient M. Pink. et on apprend alors que ces hommes sont des gangsters ayant été engagés par Joe Cabot pour braquer un diamantaire mais que le braquage - qui ne sera jamais montré dans le film - a mal tourné à cause de l'intervention rapide de la police. Brown a été tué et Blonde et Blue ont disparu. Pink. qui a réussi à emporter les diamants. et White soupçonnent que l'un des membres de leur groupe est un informateur. ",12,Image12.jpg
Inglorious Basterds,2009,Film,	Fini	,153 minutes,8.4,"Dans la France occupée. Shosanna Dreyfus. une jeune juive française. assiste à l exécution de sa famille sous les ordres du colonel SS Hans Landa. Mais elle parvient à s échapper et s enfuit à Paris. où elle se construit une nouvelle identité. devenant propriétaire d’un cinéma de quartier.Pendant ce temps. le lieutenant Aldo Raine recrute un petit groupe de soldats juifs américains pour terroriser les troupes d’occupation allemandes. Très vite connus sous le nom des « Bâtards ». s'appliquant à scalper leurs ennemis. Raine et ses hommes sont amenés à faire équipe avec Bridget von Hammersmark. une actrice allemande qui est aussi agent double pour les services secrets britanniques. afin d’assassiner les principaux dirigeants du Troisième Reich. réunis pour la première d’un film de propagande. ",13,Image13.jpg
Boulevard de la Mort,	2007,	Film,	Fini	,114 minutes	,7	,À Austin. trois amies. Arlene. Shanna et « Jungle » Julia. disc jockey d'une radio locale. font une virée dans un bar. Elles ignorent qu'elles sont étroitement surveillées par Stuntman Mike. un ancien cascadeur psychopathe qui sillonne les routes en tuant les femmes qu'il trouve sur son chemin. Pour cela. il a une méthode bien particulière : il se sert uniquement de sa voiture. Quand les filles quittent le bar avec une amie. Stuntman Mike fait de même en acceptant de raccompagner chez elle Pam. une autre cliente. Il lui vante les mérites de sa voiture. une Chevrolet Nova qui. selon lui. « protège de la mort ». Lorsqu'il prend une autre route pour suivre les filles. Pam se rend compte que quelque chose ne va pas. Stuntman Mike lui expliquee que seul le conducteur est protégé dans sa voiture. puis il freine brutalement. Pam. qui n'a pas de ceinture de sécurité. est projetée en avant et sa tête s'écrase sur le tableau de bord. Stuntman Mike rattrape ensuite le véhicule des quatre jeunes femmes et provoque une collision qui leur est fatale. Il s'en tire avec quelques fractures grâce à son véhicule renforcé et son harnais de sécurité. À l'hôpital. le Texas Ranger Earl McGraw explique à son fils et adjoint Edgar qu'il a de sérieux doutes sur la nature accidentelle de la collision mais qu'il ne peut rien prouver.,14,Image14.jpg
Une Nuit en Enfer,	1996,	Film,	Fini	,108 minutes	,7.2	,Richard « Richie » Gecko (Quentin Tarantino). après avoir aidé son frère Seth (George Clooney) à s'échapper de prison. entame avec lui une cavale sanglante au cours de laquelle ils braquent une banque et tuent plusieurs personnes. notamment à cause du comportement psychotique de Richard. Cherchant à gagner le Mexique. ils prennent en otage Jacob Fuller (Harvey Keitel). pasteur en pleine crise de foi. et ses deux enfants Kate (Juliette Lewis) et Scott (Ernest Liu). Cachés dans le camping-car de la famille Fuller. ils parviennent à passer la frontière mexicaine et n'ont alors plus qu'à attendre l'arrivée de leur contact Carlos (Cheech Marin) qui leur a fixé rendez-vous dans un bar de routiers dont le nom Titty Twister (Le Tortilleur de Tétons) est souligné par l'inscription From Dusk till Dawn (du crépuscule jusqu'à l'aube) qui a donné le titre original du film. 	,15,Image15.jpg
Grindhouse,	2007,	Film,	Fini,	191 minutes,	7.5	,"Grindhouse est un diptyque de films thriller-épouvante imitant le style des doubles programmes de films d'exploitation. sorti en 2007. Les deux épisodes. Boulevard de la mort (Death Proof) réalisé par Quentin Tarantino et Planète Terreur (Planet Terror) réalisé par Robert Rodriguez. devaient à l'origine être séparés par de fausses bandes annonces. Cependant. dans les pays non-anglophones. les deux parties sortent séparément. une décision prise par les producteurs Harvey et Bob Weinstein.Trois fausses bandes annonces ont par la suite été adaptées en long métrage : Machete. Hobo with a Shotgun et Thanksgiving. ",16,Image16.jpg
True Romance	,1993	,Film	,Fini,	119 minutes,	4.2,	"Clarence Worley est un vendeur de bandes dessinées de Détroit. amateur de films d'arts martiaux et grand fan d'Elvis Presley. À l'occasion de son anniversaire. il se rend comme à son habitude dans un cinéma pour voir la trilogie de films The Street Fighter de Sonny Chiba. Il rencontre dans la salle une jeune femme nommée Alabama. Plus tard dans la soirée. alors qu'ils ont couché ensemble. la jeune femme finit par lui avouer être en réalité une call girl engagée par le patron de Clarence comme « cadeau d'anniversaire ». Mais le coup de foudre est réciproque et ils se marient le lendemain.Clarence décide alors d'aller voir le proxénète d'Alabama. Drexl. pour récupérer ses affaires. Là-bas. la discussion dégénère et Clarence finit par le tuer.",17,Image17.jpg
Groom Service	,1995,	Film,	Fini,	98 minutes	,6.7	,Ted (de son vrai prénom Théodore) entre en fonction comme groom dans un hôtel de luxe hollywoodien : le Mon Signor. Pendant la nuit de la Saint-Sylvestre. quatre histoires plus ou moins étranges lui arrivent avec les clients de 4 chambres de l'hôtel. 	,18,Image18.jpg
Tueurs Nés	,1994,Film,	Fini	,118 minutes	,7.2	,Mickey (Woody Harrelson) et Mallory (Juliette Lewis) tuent. par plaisir. toutes les personnes présentes dans un fast-food de bord de route. Ils laissent cependant un employé en vie pour qu'il raconte les faits et participe ainsi à construire leur légende. Ils prennent ensuite la route pour trouver de nouvelles victimes.,19,Image19.jpg
Sin City	,2005,	Film	,Fini	,124 minutes	,8	,Basin City. surnommée « Sin City ». est la ville du vice et du péché. Dans cette métropole détruite par le crime évoluent trois personnages atypiques et marginaux : Marv (Mickey Rourke). un colosse tout juste sorti de prison . Dwight McCarthy (Clive Owen) un homme à femmes au passé trouble. John Hartigan (Bruce Willis). l'un des seuls policiers intègres de la ville.  Tout commence lorsqu'un homme (Josh Hartnett) rencontre une jeune femme (Marley Shelton) sur une terrasse. Il la charme en lui proposant une cigarette puis l'abat froidement. L'homme était en réalité un tueur à gages. payé par cette dernière pour la tuer.,20,Image20.jpg
